iter	Logloss
0	0.6918401119
1	0.6904840763
2	0.6891978807
3	0.6879273896
4	0.6865965289
5	0.6854322875
6	0.6840902896
7	0.6828665945
8	0.6817534784
9	0.6805853262
10	0.6793467021
11	0.6780889388
12	0.6770819625
13	0.6757761668
14	0.6745788312
15	0.6733379845
16	0.6719353788
17	0.6707188185
18	0.6695321775
19	0.6680814049
20	0.6669621798
21	0.6657470453
22	0.6645895327
23	0.6633767857
24	0.6621724038
25	0.6611821242
26	0.66004238
27	0.6589875605
28	0.6575772735
29	0.6561863668
30	0.6550967647
31	0.6539182659
32	0.6528142507
33	0.651619388
34	0.6502885364
35	0.6492583514
36	0.6479175258
37	0.6466801442
38	0.645660898
39	0.6445396732
40	0.6434037177
41	0.6423186706
42	0.6412674414
43	0.6402141881
44	0.6391404706
45	0.6379840449
46	0.6370106117
47	0.6359950993
48	0.6349805211
49	0.6338622302
50	0.6328970339
51	0.6319201875
52	0.6307769446
53	0.6298656639
54	0.6287459503
55	0.6276900714
56	0.6264057808
57	0.6253763713
58	0.6239967667
59	0.6229660077
60	0.6218855859
61	0.6209912004
62	0.6197195309
63	0.6183978169
64	0.6170863609
65	0.6160966279
66	0.6150637104
67	0.6140785874
68	0.6131563709
69	0.6120806233
70	0.6112343497
71	0.6102503929
72	0.6090284411
73	0.6080617947
74	0.6070328034
75	0.6061391201
76	0.605256803
77	0.6043597096
78	0.6033404023
79	0.6023179413
80	0.601494791
81	0.6006996518
82	0.5997533016
83	0.5988948894
84	0.5978979147
85	0.59697459
86	0.5960017033
87	0.5950433762
88	0.5940551269
89	0.5930203441
90	0.592149027
91	0.5912682425
92	0.5901598646
93	0.5893875586
94	0.588477258
95	0.5874982134
96	0.5865616785
97	0.5855795016
98	0.5847099948
99	0.5838151697
100	0.5828633211
101	0.5820222223
102	0.5812432792
103	0.5804247786
104	0.5793635478
105	0.578478883
106	0.5775163276
107	0.5767067264
108	0.5758526341
109	0.5750541977
110	0.5742122991
111	0.5730146673
112	0.5719394539
113	0.5710993229
114	0.5703134861
115	0.5695022577
116	0.5688328737
117	0.567818671
118	0.5670032509
119	0.5661486793
120	0.5653902613
121	0.5646147925
122	0.5638489924
123	0.5631590863
124	0.5622549313
125	0.5615597924
126	0.5607753783
127	0.5599815732
128	0.559085359
129	0.5582818729
130	0.5574009419
131	0.5565663582
132	0.5556888649
133	0.5547133313
134	0.554051592
135	0.5533812585
136	0.5526742084
137	0.5518187133
138	0.5511103062
139	0.5503102822
140	0.5492679478
141	0.548486779
142	0.5477588725
143	0.5470171345
144	0.5462864009
145	0.5455347193
146	0.5448015373
147	0.5440323407
148	0.543388991
149	0.5427102879
150	0.5420338713
151	0.5413694958
152	0.5406607299
153	0.5398835804
154	0.5392049047
155	0.5385440187
156	0.5377689818
157	0.5369993319
158	0.536256765
159	0.5355960499
160	0.5346744685
161	0.5339746647
162	0.5327862392
163	0.5320408223
164	0.5313466924
165	0.5304506568
166	0.5294313587
167	0.5287556612
168	0.5280502414
169	0.5270879287
170	0.5264691295
171	0.5257984206
172	0.52505435
173	0.5244194052
174	0.5235606297
175	0.5229614597
176	0.5223593496
177	0.52169393
178	0.5209580033
179	0.5202279795
180	0.5191570861
181	0.5185030937
182	0.5179209883
183	0.5171473268
184	0.5165154029
185	0.515804216
186	0.5149729814
187	0.5143039363
188	0.5136489044
189	0.5130144816
190	0.512436397
191	0.5118403944
192	0.511265288
193	0.5104536459
194	0.5099860776
195	0.509363911
196	0.5087135287
197	0.5080808706
198	0.5074220683
199	0.5065313983
