iter	Passed	Remaining
0	8	1672
1	17	1683
2	25	1698
3	34	1701
4	43	1690
5	51	1678
6	61	1697
7	71	1709
8	80	1713
9	91	1733
10	101	1742
11	111	1740
12	121	1749
13	132	1762
14	145	1788
15	156	1796
16	168	1815
17	179	1814
18	190	1810
19	201	1817
20	213	1819
21	224	1816
22	234	1807
23	245	1796
24	255	1788
25	266	1781
26	276	1773
27	287	1763
28	297	1755
29	308	1747
30	318	1736
31	337	1770
32	348	1764
33	359	1752
34	369	1741
35	379	1729
36	390	1720
37	400	1708
38	411	1699
39	422	1691
40	433	1681
41	443	1670
42	454	1658
43	464	1647
44	474	1635
45	485	1625
46	496	1617
47	507	1607
48	517	1595
49	530	1590
50	541	1582
51	552	1573
52	564	1566
53	576	1557
54	587	1548
55	598	1539
56	610	1531
57	621	1521
58	633	1512
59	644	1502
60	654	1491
61	664	1480
62	675	1469
63	685	1457
64	696	1447
65	706	1434
66	717	1424
67	728	1414
68	740	1405
69	750	1394
70	761	1383
71	773	1375
72	786	1367
73	797	1358
74	808	1347
75	819	1337
76	835	1333
77	846	1323
78	857	1313
79	868	1302
80	879	1291
81	892	1284
82	904	1274
83	915	1264
84	926	1253
85	937	1242
86	947	1230
87	958	1220
88	969	1209
89	982	1200
90	994	1191
91	1006	1181
92	1017	1170
93	1029	1161
94	1041	1150
95	1052	1140
96	1064	1130
97	1076	1120
98	1088	1110
99	1100	1100
100	1111	1089
101	1123	1079
102	1136	1069
103	1149	1060
104	1161	1050
105	1173	1040
106	1186	1031
107	1198	1020
108	1209	1009
109	1221	999
110	1233	988
111	1246	979
112	1259	969
113	1271	959
114	1283	948
115	1296	938
116	1308	928
117	1320	917
118	1333	907
119	1345	897
120	1358	887
121	1371	876
122	1384	866
123	1397	856
124	1409	845
125	1422	835
126	1434	824
127	1447	814
128	1460	803
129	1473	793
130	1485	782
131	1498	772
132	1510	760
133	1521	749
134	1534	738
135	1545	727
136	1556	715
137	1568	704
138	1581	694
139	1594	683
140	1606	672
141	1620	662
142	1637	652
143	1652	642
144	1666	631
145	1678	620
146	1689	609
147	1703	598
148	1715	587
149	1725	575
150	1737	563
151	1749	552
152	1761	541
153	1773	529
154	1784	518
155	1795	506
156	1808	495
157	1819	483
158	1829	471
159	1841	460
160	1852	448
161	1863	437
162	1877	426
163	1888	414
164	1900	403
165	1911	391
166	1922	379
167	1933	368
168	1943	356
169	1954	344
170	1964	333
171	1975	321
172	1984	309
173	1994	298
174	2005	286
175	2015	274
176	2026	263
177	2037	251
178	2049	240
179	2059	228
180	2069	217
181	2079	205
182	2089	194
183	2101	182
184	2111	171
185	2121	159
186	2132	148
187	2142	136
188	2152	125
189	2162	113
190	2172	102
191	2182	90
192	2192	79
193	2202	68
194	2211	56
195	2221	45
196	2230	33
197	2240	22
198	2250	11
199	2260	0
