iter	Logloss
0	0.6923763921
1	0.6915324205
2	0.690712375
3	0.6899229052
4	0.6890740335
5	0.6880002428
6	0.6869327504
7	0.6862309896
8	0.685509824
9	0.6848118001
10	0.6841500516
11	0.6834027678
12	0.6827682031
13	0.681941548
14	0.6812735287
15	0.680583412
16	0.6796484371
17	0.678949656
18	0.6779344153
19	0.6769444808
20	0.6762158996
21	0.6755721759
22	0.6748749182
23	0.6742026217
24	0.6735122913
25	0.6727798328
26	0.6721701467
27	0.6715281114
28	0.6708531343
29	0.6701547868
30	0.6694328641
31	0.6684227219
32	0.6677177676
33	0.6669243686
34	0.6662457219
35	0.6655187282
36	0.6648223987
37	0.6640767727
38	0.6631780856
39	0.6625961633
40	0.6619150132
41	0.6612243255
42	0.6604522607
43	0.6597936813
44	0.6591899425
45	0.6582502966
46	0.6574362716
47	0.6567603879
48	0.6560518403
49	0.65521348
50	0.6545898786
51	0.6539423142
52	0.6532215975
53	0.6522920356
54	0.6516959353
55	0.6510515827
56	0.6503472177
57	0.6497159685
58	0.6490429271
59	0.6483777166
60	0.6476732691
61	0.6467379799
62	0.645831761
63	0.6447730581
64	0.6439268823
65	0.6431957091
66	0.6422342771
67	0.6415802191
68	0.6409454101
69	0.6400567582
70	0.6393844708
71	0.6385827372
72	0.6379888503
73	0.6373269217
74	0.636671844
75	0.6361018162
76	0.6354248853
77	0.6348645232
78	0.6340335084
79	0.6334099069
80	0.6325992219
81	0.6319720485
82	0.6313709138
83	0.6307569995
84	0.6301822578
85	0.6295607141
86	0.6289328353
87	0.6283247033
88	0.6277504379
89	0.6271465862
90	0.6265401943
91	0.6259118302
92	0.6253770765
93	0.624774626
94	0.6241883075
95	0.6232869979
96	0.622644068
97	0.6220231165
98	0.6214022993
99	0.6207318529
100	0.6200130382
101	0.6191846581
102	0.6186135862
103	0.6180427066
104	0.6174430466
105	0.6168700299
106	0.6163839773
107	0.615699939
108	0.6151652006
109	0.6146314971
110	0.6141236188
111	0.6134047857
112	0.6124866817
113	0.6119553626
114	0.6113564475
115	0.6107403899
116	0.60990689
117	0.609131067
118	0.6084760381
119	0.6079213912
120	0.6071058245
121	0.606509364
122	0.6059893806
123	0.6051656136
124	0.6046036792
125	0.6040679608
126	0.6032689412
127	0.6027066619
128	0.6021204502
129	0.6013100919
130	0.6008366451
131	0.6002639642
132	0.5996901416
133	0.5990546731
134	0.598528309
135	0.5979248999
136	0.5973502224
137	0.5967590405
138	0.596036898
139	0.5954961788
140	0.5949759451
141	0.5940938784
142	0.5934449708
143	0.5928639247
144	0.5923000273
145	0.591705075
146	0.5911415286
147	0.5906614904
148	0.5901694968
149	0.5896315496
150	0.5891635738
151	0.5885641732
152	0.5878075718
153	0.5872281896
154	0.5867108654
155	0.5861399736
156	0.5855234855
157	0.5850774697
158	0.5845504431
159	0.5840455994
160	0.5835340545
161	0.5827529803
162	0.5822228641
163	0.5814291873
164	0.5810058856
165	0.5804451511
166	0.5798786922
167	0.5794334915
168	0.5788854024
169	0.5783349198
170	0.5776012157
171	0.5770922993
172	0.5762338413
173	0.5755142664
174	0.574750408
175	0.5743090174
176	0.5738084479
177	0.5733870849
178	0.5728979
179	0.5723493865
180	0.5718998232
181	0.5714260283
182	0.5709203023
183	0.5704066875
184	0.5695590278
185	0.569077454
186	0.5686249475
187	0.5678730721
188	0.567209388
189	0.5667660527
190	0.5663042561
191	0.5658258207
192	0.565367593
193	0.5649404262
194	0.5645242441
195	0.564049915
196	0.5635784618
197	0.5630755781
198	0.5625950866
199	0.5621246362
200	0.5614314283
201	0.5609713246
202	0.5602617726
203	0.5597808322
204	0.5592936912
205	0.5588401895
206	0.5583076645
207	0.5576193124
208	0.5568940635
209	0.5564238162
210	0.5559813281
211	0.5555604184
212	0.5551194858
213	0.5547061568
214	0.5542959173
215	0.5537874742
216	0.553336195
217	0.5528456622
218	0.5524184772
219	0.5519464515
220	0.5513832746
221	0.5509049109
222	0.5504440408
223	0.5497064533
224	0.5492320753
225	0.5488025517
226	0.548291309
227	0.5478346902
228	0.547429824
229	0.5469118846
230	0.5463971966
231	0.5459542948
232	0.5454716066
233	0.5447972539
234	0.5443413175
235	0.5439437417
236	0.5435101317
237	0.5428799343
238	0.542168697
239	0.5415333446
240	0.5410945689
241	0.540714789
242	0.5400614225
243	0.5394651772
244	0.5390964598
245	0.5386782276
246	0.5382522714
247	0.5378305909
248	0.5371813658
249	0.5368231307
250	0.5364731494
251	0.5360694754
252	0.5356275765
253	0.5352299016
254	0.534782599
255	0.5341349919
256	0.5337207011
257	0.5332401027
258	0.5328348274
259	0.5324439789
260	0.531840811
261	0.5314469294
262	0.5310271951
263	0.5305115546
264	0.5300164286
265	0.5296181919
266	0.5291817151
267	0.5287754018
268	0.5283844663
269	0.5277354777
270	0.5271295545
271	0.5266257107
272	0.5261979761
273	0.525817117
274	0.5254301977
275	0.5248093561
276	0.5242193313
