iter	Passed	Remaining
0	8	2889
1	16	2983
2	26	3106
3	36	3154
4	45	3138
5	53	3119
6	63	3161
7	77	3337
8	86	3320
9	95	3278
10	104	3243
11	112	3198
12	120	3163
13	128	3109
14	136	3069
15	143	3029
16	151	2995
17	158	2949
18	165	2917
19	172	2878
20	180	2848
21	188	2830
22	195	2801
23	202	2774
24	209	2753
25	217	2739
26	224	2712
27	233	2707
28	240	2690
29	248	2677
30	256	2659
31	263	2642
32	271	2631
33	279	2625
34	288	2621
35	296	2612
36	304	2604
37	313	2600
38	321	2591
39	330	2587
40	339	2586
41	348	2579
42	357	2576
43	366	2574
44	375	2570
45	385	2570
46	394	2569
47	404	2573
48	415	2574
49	425	2577
50	435	2577
51	445	2577
52	455	2579
53	466	2580
54	476	2579
55	486	2579
56	496	2576
57	505	2571
58	514	2566
59	523	2558
60	533	2553
61	542	2548
62	552	2543
63	562	2539
64	571	2534
65	581	2530
66	591	2525
67	600	2518
68	610	2512
69	619	2505
70	629	2502
71	640	2500
72	650	2493
73	659	2486
74	668	2477
75	678	2472
76	687	2465
77	697	2457
78	706	2451
79	717	2446
80	726	2439
81	736	2434
82	745	2424
83	754	2415
84	763	2407
85	772	2399
86	782	2391
87	791	2384
88	801	2376
89	810	2367
90	820	2361
91	829	2354
92	840	2348
93	849	2340
94	858	2332
95	868	2324
96	877	2316
97	886	2306
98	894	2295
99	903	2286
100	913	2278
101	922	2270
102	932	2262
103	941	2253
104	951	2247
105	960	2238
106	969	2229
107	979	2220
108	988	2212
109	997	2203
110	1006	2194
111	1015	2185
112	1024	2176
113	1034	2168
114	1043	2159
115	1052	2150
116	1063	2145
117	1074	2140
118	1083	2131
119	1093	2122
120	1101	2112
121	1110	2103
122	1120	2094
123	1128	2084
124	1138	2075
125	1147	2067
126	1156	2057
127	1164	2047
128	1174	2038
129	1183	2030
130	1193	2021
131	1201	2012
132	1211	2003
133	1222	1998
134	1232	1989
135	1241	1980
136	1250	1971
137	1259	1962
138	1269	1954
139	1278	1944
140	1286	1934
141	1296	1925
142	1305	1916
143	1314	1907
144	1323	1898
145	1333	1890
146	1343	1882
147	1353	1874
148	1362	1865
149	1372	1857
150	1382	1849
151	1392	1841
152	1401	1832
153	1411	1823
154	1420	1814
155	1430	1806
156	1440	1798
157	1450	1790
158	1460	1781
159	1470	1773
160	1480	1765
161	1490	1757
162	1501	1749
163	1511	1741
164	1521	1733
165	1531	1724
166	1540	1715
167	1550	1707
168	1559	1698
169	1570	1690
170	1581	1682
171	1589	1673
172	1600	1665
173	1610	1656
174	1620	1648
175	1631	1640
176	1641	1632
177	1651	1623
178	1661	1614
179	1671	1606
180	1681	1598
181	1691	1588
182	1700	1579
183	1711	1571
184	1721	1563
185	1731	1554
186	1741	1545
187	1750	1536
188	1761	1528
189	1771	1519
190	1780	1510
191	1790	1501
192	1800	1492
193	1809	1483
194	1818	1473
195	1829	1465
196	1839	1456
197	1848	1447
198	1857	1437
199	1866	1427
200	1875	1418
201	1885	1409
202	1895	1400
203	1904	1391
204	1914	1381
205	1923	1372
206	1932	1363
207	1943	1354
208	1952	1345
209	1961	1335
210	1971	1326
211	1981	1317
212	1991	1308
213	2000	1299
214	2010	1290
215	2019	1281
216	2029	1271
217	2039	1262
218	2049	1254
219	2060	1245
220	2069	1236
221	2078	1226
222	2088	1217
223	2099	1208
224	2108	1199
225	2118	1190
226	2127	1180
227	2136	1171
228	2145	1161
229	2155	1152
230	2164	1143
231	2173	1133
232	2183	1124
233	2193	1115
234	2203	1106
235	2214	1097
236	2223	1088
237	2233	1079
238	2243	1070
239	2252	1060
240	2261	1051
241	2270	1041
242	2279	1032
243	2289	1022
244	2298	1013
245	2308	1004
246	2318	995
247	2328	985
248	2338	976
249	2347	967
250	2357	957
251	2367	948
252	2377	939
253	2387	930
254	2397	921
255	2407	912
256	2417	903
257	2427	893
258	2436	884
259	2446	875
260	2455	865
261	2465	856
262	2475	847
263	2485	837
264	2494	828
265	2504	819
266	2514	809
267	2525	801
268	2535	791
269	2545	782
270	2555	773
271	2564	763
272	2573	754
273	2582	744
274	2591	735
275	2601	725
276	2611	716
277	2621	707
278	2631	698
279	2641	688
280	2651	679
281	2660	669
282	2670	660
283	2680	651
284	2689	641
285	2699	632
286	2709	623
287	2718	613
288	2728	604
289	2738	594
290	2748	585
291	2759	576
292	2771	567
293	2782	558
294	2793	549
295	2804	540
296	2815	530
297	2826	521
298	2836	512
299	2846	502
300	2857	493
301	2868	484
302	2878	474
303	2888	465
304	2897	456
305	2907	446
306	2917	437
307	2927	427
308	2937	418
309	2947	408
310	2957	399
311	2967	389
312	2977	380
313	2985	370
314	2995	361
315	3004	351
316	3013	342
317	3021	332
318	3030	323
319	3040	313
320	3049	304
321	3062	294
322	3071	285
323	3080	275
324	3088	266
325	3098	256
326	3106	247
327	3115	237
328	3125	228
329	3135	218
330	3145	209
331	3154	199
332	3163	190
333	3173	180
334	3182	170
335	3190	161
336	3198	151
337	3208	142
338	3217	132
339	3226	123
340	3235	113
341	3244	104
342	3253	94
343	3262	85
344	3272	75
345	3282	66
346	3292	56
347	3301	47
348	3311	37
349	3321	28
350	3330	18
351	3340	9
352	3350	0
